program_id,month,year,plan_value,actual_value,status
72,aug,2026,1,1,completed
72,sep,2026,0,1,pending
72,oct,2026,0,0,pending
72,nov,2026,0,0,pending
72,dec,2026,0,0,pending
73,jan,2026,0,0,pending
73,feb,2026,0,0,pending
73,mar,2026,0,0,pending
73,apr,2026,0,0,pending
73,may,2026,1,1,completed
73,jun,2026,0,0,pending
73,jul,2026,0,1,pending
73,aug,2026,0,0,pending
73,sep,2026,0,0,pending
73,oct,2026,0,0,pending
73,nov,2026,0,0,pending
73,dec,2026,0,0,pending
74,jan,2026,0,0,pending
74,feb,2026,0,0,pending
74,mar,2026,0,0,pending
74,apr,2026,0,0,pending
74,may,2026,0,0,pending
74,jun,2026,0,0,pending
74,jul,2026,0,0,pending
74,aug,2026,1,1,completed
74,sep,2026,0,0,pending
74,oct,2026,0,0,pending
74,nov,2026,0,0,pending
74,dec,2026,0,0,pending
75,jan,2026,3,3,completed
75,feb,2026,3,3,completed
75,mar,2026,3,3,completed
75,apr,2026,3,3,completed
75,may,2026,3,3,completed
75,jun,2026,3,3,completed
75,jul,2026,3,3,completed
75,aug,2026,3,3,completed
75,sep,2026,3,3,completed
75,oct,2026,3,3,completed
75,nov,2026,3,3,completed
75,dec,2026,3,0,pending
76,jan,2026,3,3,completed
76,feb,2026,0,0,pending
76,mar,2026,0,0,pending
76,apr,2026,3,3,completed
76,may,2026,0,0,pending
76,jun,2026,0,0,pending
76,jul,2026,3,3,completed
76,aug,2026,0,0,pending
76,sep,2026,0,0,pending
76,oct,2026,3,3,completed
76,nov,2026,0,0,pending
76,dec,2026,0,0,pending
77,jan,2026,3,3,completed
77,feb,2026,3,3,completed
77,mar,2026,3,3,completed
77,apr,2026,3,3,completed
77,may,2026,3,3,completed
77,jun,2026,3,3,completed
77,jul,2026,3,3,completed
77,aug,2026,3,3,completed
77,sep,2026,3,3,completed
77,oct,2026,3,3,completed
77,nov,2026,3,3,completed
77,dec,2026,3,0,pending
78,jan,2026,3,3,completed
78,feb,2026,3,3,completed
78,mar,2026,3,4,completed
78,apr,2026,3,3,completed
78,may,2026,3,3,completed
78,jun,2026,3,3,completed
